config,profit_target_pct,stop_rule,stop_credit_multiple,time_stop_dte,trades,win_rate,total_pnl,expectancy,profit_factor,sharpe,max_dd_pct,avg_win,avg_loss,worst_trade,stopped,level_broke,modelled_exits
PT50/stop2.5x,0.5,credit_multiple,2.5,,223,0.8789237668161435,74807.34261423076,335.458935489824,1.503227311222177,0.7280475316283133,-0.20608129008825027,1140.114871589942,-5505.747119162883,-14383.600000000004,18,0,0.8923766816143498
PT50/stop2.5x+TS5,0.5,credit_multiple,2.5,5.0,229,0.7903930131004366,63890.525730954636,278.99792895613376,1.50409621659469,0.7025055093653877,-0.15499017328043038,1053.222353179173,-2640.4733373849103,-8925.892839420243,16,0,0.9563318777292577
PT50/stop2.5x+TS3,0.5,credit_multiple,2.5,3.0,224,0.8258928571428571,94335.02194274587,421.13849081582975,1.7638404338961604,0.9499786531188966,-0.12962696985631295,1177.4917593956518,-3166.6911165499932,-11955.311825767534,17,0,0.9553571428571429
PT50/stop3x,0.5,credit_multiple,3.0,,220,0.8863636363636364,65999.38936574975,299.9972243897716,1.4431430123224809,0.6664851918067843,-0.19131464431813036,1102.2263049336996,-5957.389603852867,-13076.000000000004,16,0,0.8863636363636364
PT50/stop3x+TS5,0.5,credit_multiple,3.0,5.0,227,0.7929515418502202,55800.95442727548,245.81918249901094,1.4369671764623384,0.6323106254310279,-0.15869200754381202,1019.4528743482393,-2717.0332543703735,-10187.64150202154,14,0,0.9559471365638766
PT50/stop3x+TS3,0.5,credit_multiple,3.0,3.0,223,0.8295964125560538,77611.50817271038,348.033668935921,1.6143520401648692,0.8296716243445567,-0.13465813178059358,1102.3901815208706,-3324.4914581223857,-11643.018859453186,15,0,0.9551569506726457
PT50/stopLVL,0.5,level_break,2.0,,243,0.5308641975308642,-23855.413274243558,-98.17042499688706,0.7544680409376497,-0.22571214252911598,-0.35215322573001756,568.2377124469402,-852.2638436833231,-4655.290571036811,0,140,0.7818930041152263
PT50/stopLVL+TS5,0.5,level_break,2.0,5.0,244,0.5327868852459017,-24307.160951853133,-99.61951209775874,0.7511390847073115,-0.231120709105472,-0.3573723695462212,564.3578248311208,-856.7866507008669,-4655.290571036811,0,140,0.7827868852459017
PT50/stopLVL+TS3,0.5,level_break,2.0,3.0,243,0.5308641975308642,-23855.413274243558,-98.17042499688706,0.7544680409376497,-0.22571214252911598,-0.35215322573001756,568.2377124469402,-852.2638436833231,-4655.290571036811,0,140,0.7818930041152263
PT75/nostop,0.75,none,2.0,,198,0.8888888888888888,62682.52568734529,316.57841256234997,1.457492604269846,0.5604245371842221,-0.2129284893492118,1134.6348050417341,-6227.872727272726,-13076.000000000004,0,0,0.7525252525252525
PT75/nostop+TS5,0.75,none,2.0,5.0,210,0.7761904761904762,64208.83071936726,305.75633675889173,1.516628349511833,0.6217659882988619,-0.1792861425116012,1156.4000255050955,-2644.3483710204955,-11023.030777530415,0,0,0.9809523809523809
PT75/nostop+TS3,0.75,none,2.0,3.0,203,0.812807881773399,85316.98553875083,420.28071693965927,1.674909976792816,0.7734427810699488,-0.18455592870741336,1283.208357589181,-3326.6419332490536,-11832.510051862124,0,0,0.9704433497536946
PT75/stop1.5x,0.75,credit_multiple,1.5,,209,0.7942583732057417,61508.23746079281,294.29778689374547,1.3436667956963548,0.6239709161980346,-0.16670351889605126,1448.7024874940587,-4162.241289842346,-12882.75,36,0,0.8755980861244019
PT75/stop1.5x+TS5,0.75,credit_multiple,1.5,5.0,216,0.7361111111111112,49446.09345823216,228.9170993436674,1.3523811464942253,0.550795737462249,-0.22848085926716621,1193.4969252223902,-2461.752941265402,-7934.126968373547,33,0,0.9583333333333334
PT75/stop1.5x+TS3,0.75,credit_multiple,1.5,3.0,212,0.7735849056603774,84889.04179064056,400.42000844641774,1.5673207862970353,0.8273314724625613,-0.20614554611524968,1430.003105363681,-3117.3222393542324,-9917.658710466934,34,0,0.9528301886792453
PT75/stop2x,0.75,credit_multiple,2.0,,205,0.8390243902439024,79921.49845422906,389.86096806941003,1.465612005869078,0.7272377660192085,-0.20054768289427394,1462.614972276079,-5201.462932644135,-14383.600000000004,23,0,0.8439024390243902
PT75/stop2x+TS5,0.75,credit_multiple,2.0,5.0,215,0.7534883720930232,57066.51827159774,265.4256663795244,1.4030953273947675,0.6043799124698691,-0.24110415308595776,1226.1561370248965,-2671.146715593122,-10242.780604201595,19,0,0.9767441860465116
PT75/stop2x+TS3,0.75,credit_multiple,2.0,3.0,210,0.8,90603.01139391412,431.442911399591,1.6322378650277831,0.8756374904895763,-0.19433083122930167,1392.3111370300733,-3412.0299911223397,-11380.86733800177,21,0,0.9666666666666667
PT75/stop2.5x,0.75,credit_multiple,2.5,,205,0.848780487804878,95544.54001542556,466.0709269045149,1.5755940877873593,0.8202788165826128,-0.1984702545410137,1503.0888172033385,-5354.610134772752,-15691.200000000006,19,0,0.8292682926829268
PT75/stop2.5x+TS5,0.75,credit_multiple,2.5,5.0,215,0.7627906976744186,76156.55909055093,354.2165539095392,1.5761370582205323,0.7515351101909892,-0.1478640491083111,1270.3741119779663,-2591.85873085952,-8925.892839420243,16,0,0.9767441860465116
PT75/stop2.5x+TS3,0.75,credit_multiple,2.5,3.0,211,0.8104265402843602,109359.39912409887,518.2909911094733,1.8294313899143133,1.0080878351970866,-0.13181208090945956,1410.5733168638462,-3296.2159514904706,-11955.311825767534,17,0,0.966824644549763
PT75/stop3x,0.75,credit_multiple,3.0,,202,0.8564356435643564,79760.62911207732,394.8545995647392,1.4714988837308358,0.732716829511888,-0.19951374873796435,1438.8705897542538,-5833.240790186503,-14383.600000000004,16,0,0.8168316831683169
PT75/stop3x+TS5,0.75,credit_multiple,3.0,5.0,214,0.7663551401869159,61804.89054947312,288.8078997638931,1.4676756134595275,0.6647104762688653,-0.15857384254710444,1182.6720878773365,-2643.0666372482005,-10187.64150202154,14,0,0.9766355140186916
PT75/stop3x+TS3,0.75,credit_multiple,3.0,3.0,208,0.8125,99161.83648814127,476.73959850067916,1.7340203894983888,0.9541065159497146,-0.16446306491506585,1386.12990317425,-3463.9517217514617,-12370.707538169012,15,0,0.9663461538461539
PT75/stopLVL,0.75,level_break,2.0,,234,0.5085470085470085,-19218.5768763095,-82.13067041157906,0.8058229294777686,-0.153417336653908,-0.3288899826128296,670.2177725614164,-860.6477548792873,-4655.290571036811,0,150,0.7991452991452992
PT75/stopLVL+TS5,0.75,level_break,2.0,5.0,236,0.5084745762711864,-18701.96901170233,-79.24563140551835,0.8141607786390831,-0.142226916780605,-0.33005542204128174,682.7770057161616,-867.5449111865665,-4655.290571036811,0,149,0.8008474576271186
PT75/stopLVL+TS3,0.75,level_break,2.0,3.0,234,0.5085470085470085,-19218.5768763095,-82.13067041157906,0.8058229294777686,-0.153417336653908,-0.3288899826128296,670.2177725614164,-860.6477548792873,-4655.290571036811,0,150,0.7991452991452992
